Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.3) Gyro: (-0.002181661564992912, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.02, -0.42) Gravity: (0.0, -1.33, 9.71) Time: 8.756261825561523
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.290000000000001) Gyro: (-0.001090830782496456, 0.003272492347489368, -0.002181661564992912) Lin Acceleration NoG: (-0.01, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 8.878095865249634
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.3) Gyro: (0.002181661564992912, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.05, -0.41000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 9.000197887420654
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.31) Gyro: (0.0, -0.003272492347489368, 0.0) Lin Acceleration NoG: (-0.01, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 9.123936653137207
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.32) Gyro: (0.0, 0.0, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 9.246509790420532
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.27, 9.32) Gyro: (0.004363323129985824, 0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 9.370333433151245
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.01, -1.25, 9.34) Gyro: (0.0, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (0.02, 0.07, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 9.493392944335938
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.3) Gyro: (-0.001090830782496456, -0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 9.621767520904541
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.28, 9.33) Gyro: (-0.001090830782496456, -0.004363323129985824, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.36) Gravity: (0.0, -1.33, 9.71) Time: 9.745126485824585
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.3, 9.33) Gyro: (-0.002181661564992912, -0.002181661564992912, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 9.86501407623291
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.31) Gyro: (0.001090830782496456, -0.001090830782496456, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 9.98766541481018
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.3, 9.35) Gyro: (-0.001090830782496456, 0.001090830782496456, 0.0) Lin Acceleration NoG: (-0.01, 0.03, -0.36) Gravity: (0.0, -1.33, 9.71) Time: 10.106965780258179
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.31, 9.32) Gyro: (0.001090830782496456, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.02, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 10.228701114654541
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.32) Gyro: (-0.001090830782496456, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 10.350412130355835
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.28, 9.3) Gyro: (0.0, -0.001090830782496456, -0.003272492347489368) Lin Acceleration NoG: (0.0, 0.04, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 10.477648973464966
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.32) Gyro: (0.002181661564992912, 0.002181661564992912, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.04, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 10.6021146774292
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.33) Gyro: (0.001090830782496456, -0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 10.730310678482056
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.31, 9.32) Gyro: (0.002181661564992912, 0.003272492347489368, 0.0) Lin Acceleration NoG: (-0.01, 0.04, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 10.855223417282104
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.31) Gyro: (0.0, -0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (0.01, 0.06, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 10.981465816497803
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.33) Gyro: (0.0, -0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 11.107678413391113
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.32) Gyro: (0.0, -0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 11.2353835105896
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.32) Gyro: (0.002181661564992912, -0.004363323129985824, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 11.363342761993408
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.3) Gyro: (-0.001090830782496456, -0.00545415391248228, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.41000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 11.48911714553833
Euler Angles: (-1688.0625, 0.0, 7.8125) Lin Acceleration: (-0.04, -1.28, 9.32) Gyro: (0.0, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (-0.03, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 11.61030101776123
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.3) Gyro: (-0.001090830782496456, 0.0, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 11.73251485824585
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.29, 9.33) Gyro: (-0.002181661564992912, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (-0.02, 0.06, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 11.855951070785522
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.32) Gyro: (0.0, 0.004363323129985824, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 11.97655725479126
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.3, 9.34) Gyro: (0.001090830782496456, 0.0, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.03, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 12.101749658584595
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.33) Gyro: (0.002181661564992912, 0.003272492347489368, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 12.222238779067993
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.32) Gyro: (0.001090830782496456, 0.0, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 12.345019578933716
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.27, 9.3) Gyro: (-0.001090830782496456, 0.0, 0.0) Lin Acceleration NoG: (0.0, 0.01, -0.36) Gravity: (0.0, -1.33, 9.71) Time: 12.466740846633911
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.33) Gyro: (0.002181661564992912, 0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 12.58867597579956
